Grid_Dimension,Number_of_Steps,Number_of_Cores,Poisson,BC,Total_Computation_Time(ms)
50x50,100,5,1,1,1691
50x50,100,5,1,1,1721
50x50,100,5,1,1,1653
50x50,100,5,1,1,1660
50x50,100,5,1,1,4619
50x50,100,6,1,1,1690
50x50,100,6,1,1,1648
50x50,100,6,1,1,1602
50x50,100,6,1,1,1633
50x50,100,6,1,1,1641
50x50,100,7,1,1,1747
50x50,100,7,1,1,1657
50x50,100,7,1,1,1737
50x50,100,7,1,1,1818
50x50,100,7,1,1,1702
50x50,100,8,1,1,1670
50x50,100,8,1,1,1909
50x50,100,8,1,1,1785
50x50,100,8,1,1,1755
50x50,100,8,1,1,1949
50x50,100,9,1,1,2064
50x50,100,9,1,1,1830
50x50,100,9,1,1,4830
50x50,100,9,1,1,2154
50x50,100,9,1,1,1914
50x50,100,10,1,1,2413
50x50,100,10,1,1,2461
50x50,100,10,1,1,2047
50x50,100,10,1,1,2167
50x50,100,10,1,1,2262
50x50,100,11,1,1,2105
50x50,100,11,1,1,2369
50x50,100,11,1,1,2098
50x50,100,11,1,1,2100
50x50,100,11,1,1,2333
50x50,100,12,1,1,6819
50x50,100,12,1,1,4690
50x50,100,12,1,1,3893
50x50,100,12,1,1,3703
50x50,100,12,1,1,2898
50x50,100,13,1,1,133839
50x50,100,13,1,1,133719
50x50,100,13,1,1,142134
50x50,100,13,1,1,140097
50x50,100,13,1,1,130766
50x50,100,14,1,1,155862
50x50,100,14,1,1,150593
50x50,100,14,1,1,158654
50x50,100,14,1,1,153582
50x50,100,14,1,1,191467
50x50,100,1,2,1,1471
50x50,100,1,2,1,823
50x50,100,1,2,1,1127
50x50,100,1,2,1,867
50x50,100,1,2,1,945
50x50,100,2,2,1,1455
50x50,100,2,2,1,635
50x50,100,2,2,1,614
50x50,100,2,2,1,787
50x50,100,2,2,1,792
50x50,100,3,2,1,909
50x50,100,3,2,1,874
50x50,100,3,2,1,825
50x50,100,3,2,1,813
50x50,100,3,2,1,866
50x50,100,4,2,1,879
50x50,100,4,2,1,965
50x50,100,4,2,1,4032
50x50,100,4,2,1,1060
50x50,100,4,2,1,914
50x50,100,5,2,1,1245
50x50,100,5,2,1,962
50x50,100,5,2,1,786
50x50,100,5,2,1,1027
50x50,100,5,2,1,835
50x50,100,6,2,1,833
50x50,100,6,2,1,899
50x50,100,6,2,1,870
50x50,100,6,2,1,854
50x50,100,6,2,1,819
50x50,100,7,2,1,764
50x50,100,7,2,1,869
50x50,100,7,2,1,888
50x50,100,7,2,1,748
50x50,100,7,2,1,713
50x50,100,8,2,1,614
50x50,100,8,2,1,799
50x50,100,8,2,1,596
50x50,100,8,2,1,704
50x50,100,8,2,1,796
50x50,100,9,2,1,590
50x50,100,9,2,1,946
50x50,100,9,2,1,819
50x50,100,9,2,1,831
50x50,100,9,2,1,903
50x50,100,10,2,1,813
50x50,100,10,2,1,790
50x50,100,10,2,1,765
50x50,100,10,2,1,740
50x50,100,10,2,1,934
50x50,100,11,2,1,681
50x50,100,11,2,1,828
50x50,100,11,2,1,4070
50x50,100,11,2,1,886
50x50,100,11,2,1,882
50x50,100,12,2,1,1863
50x50,100,12,2,1,985
50x50,100,12,2,1,1052
50x50,100,12,2,1,1179
50x50,100,12,2,1,1068
50x50,100,13,2,1,20961
50x50,100,13,2,1,23924
50x50,100,13,2,1,24184
50x50,100,13,2,1,21229
50x50,100,13,2,1,24291
50x50,100,14,2,1,24865
50x50,100,14,2,1,21993
50x50,100,14,2,1,24883
50x50,100,14,2,1,24722
50x50,100,14,2,1,21704
100x100,100,1,0,0,1534
100x100,100,1,0,0,1688
100x100,100,1,0,0,2153
100x100,100,1,0,0,1873
100x100,100,1,0,0,1603
100x100,100,2,0,0,1162
100x100,100,2,0,0,1377
100x100,100,2,0,0,1314
100x100,100,2,0,0,1241
100x100,100,2,0,0,1040
100x100,100,3,0,0,4007
100x100,100,3,0,0,1478
100x100,100,3,0,0,1473
100x100,100,3,0,0,1109
100x100,100,3,0,0,1414
100x100,100,4,0,0,1083
100x100,100,4,0,0,1359
100x100,100,4,0,0,1380
100x100,100,4,0,0,1467
100x100,100,4,0,0,1326
100x100,100,5,0,0,1034
100x100,100,5,0,0,1459
100x100,100,5,0,0,1434
100x100,100,5,0,0,1332
100x100,100,5,0,0,937
100x100,100,6,0,0,1178
100x100,100,6,0,0,1500
100x100,100,6,0,0,1308
100x100,100,6,0,0,1381
100x100,100,6,0,0,980
100x100,100,7,0,0,1053
100x100,100,7,0,0,1260
100x100,100,7,0,0,1355
100x100,100,7,0,0,1504
100x100,100,7,0,0,4033
100x100,100,8,0,0,1314
100x100,100,8,0,0,1303
100x100,100,8,0,0,1391
100x100,100,8,0,0,1493
100x100,100,8,0,0,1013
100x100,100,9,0,0,1192
100x100,100,9,0,0,1255
100x100,100,9,0,0,1355
100x100,100,9,0,0,1132
100x100,100,9,0,0,1324
100x100,100,10,0,0,1266
100x100,100,10,0,0,1564
100x100,100,10,0,0,1379
100x100,100,10,0,0,1326
100x100,100,10,0,0,1460
100x100,100,11,0,0,1979
100x100,100,11,0,0,1839
100x100,100,11,0,0,1685
100x100,100,11,0,0,1641
100x100,100,11,0,0,2342
100x100,100,12,0,0,5638
100x100,100,12,0,0,2617
100x100,100,12,0,0,2814
100x100,100,12,0,0,3525
100x100,100,12,0,0,2508
100x100,100,13,0,0,1134
100x100,100,13,0,0,1159
100x100,100,13,0,0,1220
100x100,100,13,0,0,1161
100x100,100,13,0,0,1194
100x100,100,14,0,0,1203
100x100,100,14,0,0,1209
100x100,100,14,0,0,1158
100x100,100,14,0,0,1136
100x100,100,14,0,0,1214
100x100,100,1,1,0,10832
100x100,100,1,1,0,14901
100x100,100,1,1,0,11350
100x100,100,1,1,0,11822
100x100,100,1,1,0,14649
100x100,100,2,1,0,6923
100x100,100,2,1,0,7630
100x100,100,2,1,0,7345
100x100,100,2,1,0,10189
100x100,100,2,1,0,7604
100x100,100,3,1,0,8779
100x100,100,3,1,0,8871
100x100,100,3,1,0,11672
100x100,100,3,1,0,8273
100x100,100,3,1,0,9194
100x100,100,4,1,0,7509
100x100,100,4,1,0,10661
100x100,100,4,1,0,7604
100x100,100,4,1,0,7626
100x100,100,4,1,0,8007
100x100,100,5,1,0,9366
100x100,100,5,1,0,7001
100x100,100,5,1,0,6647
100x100,100,5,1,0,6895
100x100,100,5,1,0,6988
100x100,100,6,1,0,9537
100x100,100,6,1,0,6701
100x100,100,6,1,0,6701
100x100,100,6,1,0,6599
100x100,100,6,1,0,6538
100x100,100,7,1,0,9087
100x100,100,7,1,0,6258
100x100,100,7,1,0,6187
100x100,100,7,1,0,6258
100x100,100,7,1,0,6341
100x100,100,8,1,0,8917
100x100,100,8,1,0,5805
100x100,100,8,1,0,5915
100x100,100,8,1,0,5947
100x100,100,8,1,0,5913
100x100,100,9,1,0,5624
100x100,100,9,1,0,8568
100x100,100,9,1,0,5643
100x100,100,9,1,0,5836
100x100,100,9,1,0,5797
100x100,100,10,1,0,5524
100x100,100,10,1,0,8504
100x100,100,10,1,0,5553
100x100,100,10,1,0,5567
100x100,100,10,1,0,5692
100x100,100,11,1,0,5712
100x100,100,11,1,0,5967
100x100,100,11,1,0,8857
100x100,100,11,1,0,5724
100x100,100,11,1,0,6342
100x100,100,12,1,0,24568
100x100,100,12,1,0,10112
